title,abstract,summary,rouge-1 score
A Microbiological Survey and Characterization,"In our study, two dairy compost heaps and one vegetable scrap compost heap were constructed on two research farms in Clemson, SC. Samples were taken fr om ach heap from different locations at 8 elected intervals and analyzed for enterococ ci and VRE counts by spread plating on Bile Esculin agar (BEA) and BEA containing 6 μg/ml of vancomycin, respectively. The initial populations of enterococci and VRE in compost were in the range of 6.46-7.43 and 5.36-6.70 log CFU/g, respectively. After 30 days of active composting the average VRE populations declined ca. 4.6, 4.07, 3.97 and 1.6 logs at the top, center, bottom and surface locations of the heaps, respectively, whereas the enterococci populations declined for 4.36, 3.54, 3.10, and 2.28 logs, respectively. During the two dairy compost trials, the temperatures at the top, center, and bottom locations were in excess of 55°C for 14 – 18, 12, and 8 days, respectively, whereas temperatures of the surface samples never exceeded 32°C. During thermophilic composting, microbial activity slightly reduced the pH, there after it began to rise slightly due t o the production of ammonia. The moisture content inside the heaps changed very little during active composting in any of the 3 trials.",and VRE in compost were,"[0.2, 0.2, 0.20000000000000004]"
eb 2 00 6 Non-Commutative Formal Groups in Positive Characteristic,"We describe geometric non-commutative formal groups in terms of a geometric commutative formal group with a Poisson structure on its splay algebra. We describe certain natural properties of such Poisson structures and show that any such Poisson structure gives rise to a non-commutative formal group. We describe geometric non-commutative formal groups in terms of a geometric commutative formal group with a Poisson structure on its splay algebra. We describe certain natural properties of such Poisson structures and show that any such Poisson structure gives rise to a non-commutative formal group. In characterizing non-commutative formal groups G, it is natural to consider their distribution algebras, Dist(G). Although we are interested mainly in the characteristic p > 0 setting, we make an effort to work by analogy to the characteristic zero version of our problem. Let G be a formal group with Lie algebra g. We recall that, in characteristic zero, we have a canonical isomorphism between Dist(G) and the universal enveloping algebra Ug. Then our problem reduces to describing the algebraic relationship between the symmetric Sg, Ug, and the tensor algebra Tg as in the following diagram: Tg Sg ∼ − PBW Ug. (1) Here, the diagonal arrows are algebra maps and the horizontal arrow is a vector space isomorphism given by the Poincaré-Birkhoff-Witt (PBW) theorem. In the positive characteristic setting, there are a few features that present difficulties which are absent in the zero characteristic setting. In a sense made precise below, the problem is non-linear and, unlike in the zero characteristic setting, the algebras of importance are not quadratic. Let us recall that in characteristic zero, the PBW theorem gives an identification between Sg and the associated graded algebra of Ug. We may regard Sg as the universal enveloping algebra for the trivial Lie algebra structure on g, so",formal groups in terms of a geometric commutative formal group,"[0.4, 0.36363636363636365, 0.380952380952381]"
An Alternating Mesh Quality Metric Scheme for Efficient Mesh Quality Improvement,"In the numerical solution of partial differential equations (PDEs), high-quality meshes are crucial for the stability, accuracy, and convergence of the associated PDE solver. Mesh quality improvement is often performed to improve the quality of meshes before use in numerical solution of the PDE. Mesh smoothing (performed via optimization) is one popular technique for improving the mesh quality; it does so by making adjustments to the vertex locations. When an inefficient mesh quality metric is used to design the optimization problem, and hence also to measure the mesh quality within the optimization procedure, convergence of the optimization method can be much slower than desired. However, for many applications, the choice of mesh quality metric and the optimization problem should be considered fixed. In this paper, we propose a simple mesh quality metric alternation scheme for use in the mesh optimization process. The idea is to alternate the use of the original inefficient mesh quality metric with a more efficient mesh quality metric on alternate iterations of the mesh optimization procedure in order to reduce the time to convergence, while solving the original mesh quality improvement problem. Typical results of using our application scheme to solve mesh quality improvement problems yield approximately 40-55% improvement in comparison to the original mesh optimization procedure. More frequent use of the efficient metric results in greater speed-ups.",inefficient mesh quality metric with a more efficient mesh quality metric,"[0.5454545454545454, 0.5454545454545454, 0.5454545454545454]"
Researching Distance Learning Experiences Using Qualitative Case Study as a Research Method : Lessons Learned,"Qualitative case study is hardly a research technique in its proper sense, but it is typical of most qualitative research to employ its usage in the research design. Hence, it merits some discussion. This paper considers some methodological issues of collecting qualitative data from distance learners at the Universiti Utara Malaysia (UUM). This paper begins with an overview of the study before describing the case study and the range of methods used. Then, it examines the merits and limitations of these research methods. Specifically, this paper discusses two methodological issues in qualitative case study: generalisation of research findings and integrity of research reports. Some concluding remarks are made about the appropriateness and effectiveness of the method used. The discussion in this paper is an attempt to highlight plausible major issues that researchers may encounter when the qualitative convention is adopted in the Malaysian educational research setting.",is typical of most qualitative research to employ Qualitative case study's usage in the research,"[0.3125, 0.35714285714285715, 0.3333333333333333]"
Un Motor de Transformación de Modelos con Soporte para el Lenguaje QVT Relations,"Resumen. En la actualidad están apareciendo un gran número de herramientas que proporcionan soporte para transformar modelos. No obstante, hasta el momento no existe ninguna que haya tenido en consideración el lenguaje estándar QVT Relations. En este artículo se presenta la arquitectura de un motor de transformación de modelos que proporciona soporte para este lenguaje estándar dentro del framework de gestión de modelos MOMENT. Este motor de transformaciones ha sido definido mediante la utilización de métodos formales como plugin dentro de Eclipse, haciendo uso de Eclipse Modeling Framework para la manipulación de modelos.",la arquitectura de un motor de transformación de modelos que proporciona soporte para,"[0.6428571428571429, 0.6428571428571429, 0.6428571428571429]"
Phonetics in Functional Discourse Grammar,"The theory of Functional Discourse Grammar assumes that the structure of linguistic items is to a large extent determined by their use, but this idea has not yet been fleshed out in the realm of phonology and phonetics. The present paper aims to address this void, and argues that FDG should be extended with a fifth level of representation, namely a Phonetic Level. With this addition, the model can capture the interaction of two competing functional pressures: the maximization of perceptual distinctiveness, and the minimization of articulatory effort.",The theory of Functional Discourse,"[0.4, 0.4, 0.4000000000000001]"
ASLA: reverse engineering approach for software license information retrieval,"Software maintenance and reuse require identification of the applied software licenses. The information needs of maintainers and reusers can be supported by reverse engineering tools at different information retrieval levels. The paper presents a reverse engineering approach called ASLA for retrieving license information typically used in OSS. User needs, system architecture, tool features, and tool evaluation are presented. The implemented tool features include support for identifying source file dependencies and licenses in source files. The tool is evaluated against another tool for license information extraction. ASLA supports the same programming languages as GCC. License identification coverage is good and the tool is extendable",tool is evaluated against another tool for license information,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
Implementing interference cancellation to increase the EV-DO Rev A reverse link capacity,"This article provides the principles and practice of how interference cancellation can be implemented on the EV-DO Rev A reverse link. It is shown that applying interference cancellation to CDMA achieves the multiple access channel sum rate capacity for either frame synchronous or asynchronous users. The per user SINR gain from space-time interference cancellation translates directly into a CDMA capacity gain of the same factor, allowing EV-DO Rev A to support more users with higher data rates. We demonstrate how interference cancellation can be added to base station processing without modifying user terminals, EV-DO standards, or network coverage. We present commercially viable receiver architectures for implementing interference cancellation with the asynchronism and H-ARQ of EV-DO RevA, and explain why closed loop power control can operate the same way it does today. Network level simulations over a wide range of channels confirm that interference cancellation offers significant capacity gains for all users, while maintaining the same link budget and system stability.",interference cancellation translates directly into a CDMA capacity gain of the same,"[0.4166666666666667, 0.38461538461538464, 0.4]"
Smart detectors for Monte Carlo radiative transfer Maarten Baes,"Many optimization techniques have been invented to reduce the noise that is inherent in Monte Carlo radiative transfer simulations. As the typical detectors used in Monte Carlo simulations do not take into account all the information contained in the impacting photon packages, there is still room to optimize this detection process and the corresponding estimate of the surface brightness distributions. We want to investigate how all the information contained in the distribution of impacting photon packages can be optimally used to decrease the noise in the surface brightness distributions and hence to increase the efficiency of Monte Carlo radiative transfer simulations. We demonstrate that the estimate of the surface brightness distribution in a Monte Carlo radiative transfer simulation is similar to the estimate of the density distribution in an SPH simulation. Based on this similarity, a recipe is constructed for smart detectors that take full advantage of the exact location of the impact of the photon packages. Several types of smart detectors, each corresponding to a different smoothing kernel, are presented. We show that smart detectors, while preserving the same effective resolution, reduce the noise in the surface brightness distributions compared to the classical detectors. The most efficient smart detector realizes a noise reduction of about 10%, which corresponds to a reduction of the required number of photon packages (i.e. a reduction of the simulation run time) of 20%. As the practical implementation of the smart detectors is straightforward and the additional computational cost is completely negligible, we recommend the use of smart detectors in Monte Carlo radiative transfer simulations.",the use of smart detectors in Monte Carlo radiative,"[0.5555555555555556, 0.5555555555555556, 0.5555555555555556]"
The Use of Reversed in Situ Cartilage Flaps During Rhinoplasty of Middle-Eastern Patients,"Introduction: Problems faced with cartilage grafts as resorption, malposition, palpability and distortion had led many surgeons to shift to cartilage flaps instead of free grafting especially in the difficult and changeling rhinoplasty of middleeastern patients. Patients and Methods: Prospective study involving 50 patients who underwent rhinoplasty with use of in-situ spreader and alar cartilage flaps. Evaluation was done both subjectively and objectively. Results: All the patients except four showed a significant improvement of mean subjective breathing quality before and after surgery together with excellent aesthetic outcome in 43 patients (86%). Five patients rated the result as good (10%). Only two patients rated the procedure as poor (4%). Conclusion: The spreader flap made of upper lateral cartilages is a perfect alternative to spreader grafts in middleEastern patients. Alar cartilage flaps are mandatory in our rhinoplasty.",Patients and Methods: Prospective study involving 50 patients who underwent rhinoplasty with use,"[0.23076923076923078, 0.21428571428571427, 0.22222222222222224]"
